story_tokenized,tensor,story_id,story,token_id,story_cond,hedges
found,2179,2,'arson_free',149,'arson_free',T
guilty,5905,2,'arson_free',150,'arson_free',T
",",1010,2,'arson_free',151,'arson_free',T
he,2002,2,'arson_free',152,'arson_free',T
will,2097,2,'arson_free',153,'arson_free',T
face,2227,2,'arson_free',154,'arson_free',T
up,2039,2,'arson_free',155,'arson_free',T
to,2000,2,'arson_free',156,'arson_free',T
10,2184,2,'arson_free',157,'arson_free',T
years,2086,2,'arson_free',158,'arson_free',T
in,1999,2,'arson_free',159,'arson_free',T
prison,3827,2,'arson_free',160,'arson_free',T
.,1012,2,'arson_free',161,'arson_free',T
according,2429,2,'arson_free',162,'arson_free',T
to,2000,2,'arson_free',163,'arson_free',T
recent,3522,2,'arson_free',164,'arson_free',T
reports,4311,2,'arson_free',165,'arson_free',T
though,2295,2,'arson_free',166,'arson_free',T
",",1010,2,'arson_free',167,'arson_free',T
experts,8519,2,'arson_free',168,'arson_free',T
don,2123,2,'arson_free',169,'arson_free',T
',1005,2,'arson_free',170,'arson_free',T
t,1056,2,'arson_free',171,'arson_free',T
believe,2903,2,'arson_free',172,'arson_free',T
that,2008,2,'arson_free',173,'arson_free',T
the,1996,2,'arson_free',174,'arson_free',T
existing,4493,2,'arson_free',175,'arson_free',T
